-DOCSTART- -X- -X- O
at IN B-PP O
Taste NNP B-NP O
of IN B-PP O
Heaven NNP B-NP O
veg FW I-NP O
hut VBD B-VP O
three CD B-NP O
times NNS I-NP O
a DT B-NP O
week NN I-NP O
. . O O

The DT B-NP O
only JJ I-NP O
thing NN I-NP O
I PRP B-NP O
do VBP B-VP O
n't RB I-VP O
like VB I-VP O
about IN B-PP O
kerala JJ B-NP O
style NN I-NP O
food NN I-NP O
is VBZ B-VP O
the DT B-NP O
coconut NN I-NP O
and CC O O
sweetish JJ B-NP O
curries NNS I-NP O
, , O O
but CC O O
anyway RB O O
. . O O

For IN B-PP O
another DT B-NP O
time NN I-NP O
. . O O

Rankings NNS B-NP O
# # I-NP O
of IN B-PP O
times NNS B-NP O
dined VBN I-NP O
here RB O O
: : O O
1st CD B-NP O
Cost NN I-NP O
of IN B-PP O
Bill NNP B-NP O
: : O O
$ $ B-NP O
29 CD I-NP O
for IN B-PP O
2person CD B-NP O
Food NN I-NP O
Rating NN I-NP O
: : O O
8 CD B-NP O
/ $ I-NP O
10 CD I-NP O
Service NNP I-NP O
Rating NNP I-NP O
: : O O
takeawayCompared VBN B-VP O
to TO I-VP O
all PDT B-NP O
the DT I-NP O
Indian JJ I-NP O
Buffets NNP I-NP O
I PRP B-NP O
have VBP B-VP O
tasted VBN I-VP O
, , O O
this DT B-NP O
one CD I-NP O
is VBZ B-VP O
`` `` O O
As RB O O
good JJ B-NP O
as IN B-PP O
it PRP B-NP O
gets VBZ B-VP O
! . O O

Lunch NN B-NP O
is VBZ B-VP O
a DT B-NP O
Buffet NNP I-NP O
and CC O O
Buffet NNP B-NP O
is VBZ B-VP O
usually RB I-VP O
concept JJ B-NP O
I PRP B-NP O
avoid VBP B-VP O
! . O O

Glad NNP B-NP O
for IN B-PP O
me PRP B-NP O
I PRP B-NP O
could MD B-VP O
make VB I-VP O
this DT B-NP O
exception NN I-NP O
! . O O

One CD B-NP O
of IN B-PP O
the DT B-NP O
reasons NNS I-NP O
I PRP B-NP O
avoid VBP B-VP O
buffets NNS B-NP O
is VBZ B-VP O
the DT B-NP O
lack NN I-NP O
of IN B-PP O
Quality NN B-NP O
! . O O

Today NN B-NP O
this DT I-NP O
Buffet NNP I-NP O
BEAT NNP I-NP O
( ( O O
Buffeted NNP B-NP O
) ) O O
the DT B-NP O
quality NN I-NP O
of IN B-PP O
many JJ B-NP O
Indian JJ I-NP O
Restaurants NNPS I-NP O
Dinner NNP I-NP O
Quality NN I-NP O
! . O O

I PRP B-NP O
tasted VBD B-VP O
almost RB I-VP O
everything NN B-NP O
on IN B-PP O
the DT B-NP O
Buffet NNP I-NP O
, , O O
which WDT B-NP O
was VBD B-VP O
quite RB I-VP O
a DT B-NP O
selection NN I-NP O
and CC O O
enjoyed VBD B-VP O
everything NN B-NP O
! . O O

Some DT B-NP O
of IN B-PP O
the DT B-NP O
Dishes NNP I-NP O
I PRP B-NP O
returned VBD B-VP O
for IN B-PP O
seconds NNS B-NP O
( ( O O
Chicken NNP B-NP B-MENU
Tikka NNP I-NP I-MENU
Masala NNP I-NP I-MENU
and CC O O
the DT B-NP O
Okra NNP I-NP B-MENU
Curry NNP I-NP I-MENU
) ) O O
! . O O

The DT B-NP O
Dal NNP I-NP B-MENU
and CC O O
Naan NNP B-NP B-MENU
were VBD B-VP O
good JJ B-NP O
, , O O
the DT B-NP O
Rice NNP I-NP B-MENU
was VBD B-VP O
plain NN B-NP O
! . O O

CURRY NN B-NP B-MENU
! . O O

This DT B-NP O
was VBD B-VP O
a DT B-NP O
Curry NNP I-NP B-MENU
Lovers NNP I-NP O
dream VBP B-VP O
come VB I-VP O
true JJ B-NP O
! . O O

The DT B-NP O
wide JJ I-NP O
variety NN I-NP O
of IN B-PP O
Flavors NNS B-NP O
( ( O O
also RB O O
rare VBP B-VP O
in IN B-PP O
Buffets NNP B-NP O
) ) O O
of IN B-PP O
Curries NNP B-NP O
was VBD B-VP O
surprising JJ B-NP O
, , O O
each DT B-NP O
had VBD B-VP O
a DT B-NP O
unique JJ I-NP O
Look NNP I-NP O
and CC O O
flavor NN B-NP O
. . O O

The DT B-NP O
Spice NNP I-NP O
Levels NNP I-NP O
included VBD B-VP O
some DT B-NP O
Mild NNP I-NP O
, , O O
some DT B-NP O
approaching VBG I-NP O
Medium NNP I-NP O
and CC O O
a DT B-NP O
few JJ I-NP O
a DT B-NP O
little RB O O
more JJR O O
than IN B-PP O
medium NN B-NP O
, , O O
though IN B-PP O
none NN B-NP O
`` `` I-NP O
Hot NNP I-NP O
`` `` O O
and CC O O
I PRP B-NP O
have VBP B-VP O
NEVER RB I-VP O
ordered VBN I-VP O
any DT B-NP O
dish JJ I-NP O
`` `` O O
Indian JJ B-NP O
Hot NNP I-NP O
`` `` O O
, , O O
though IN B-PP O
Jason NNP B-NP O
ordered VBD B-VP O
`` `` O O
Make VB B-VP O
it PRP B-NP O
so RB O O
Hot NNP B-NP O
it PRP B-NP O
Hurts VBZ B-VP O
`` `` O O
once RB O O
, , O O
at IN B-PP O
another DT B-NP O
place NN I-NP O
, , O O
not RB O O
here RB O O
! . O O

Food NN B-NP O
was VBD B-VP O
nice JJ B-NP O
, , O O
but CC O O
service NN B-NP O
was VBD B-VP O
lackluster JJ B-NP O
and CC O O
understaffed JJ B-NP O
. . O O

Naan NNP B-NP B-MENU
finally RB O O
came VBD B-VP O
out RP O O
after IN B-PP O
meal NN B-NP O
was VBD B-VP O
finished VBN I-VP O
. . O O
. . O O
. . O O
no DT B-NP O
discussion NN I-NP O
if IN B-PP O
we PRP B-NP O
still RB O O
wanted VBD B-VP O
it PRP B-NP O
, , O O
just RB O O
set VBN B-VP O
it PRP B-NP O
on IN B-PP O
the DT B-NP O
table NN I-NP O
and CC O O
walked VBD B-VP O
off RP O O
. . O O

Not RB O O
sure JJ B-NP O
that IN B-PP O
I PRP B-NP O
will MD B-VP O
be VB I-VP O
back RB O O
. . O O

My PRP$ B-NP O
quest JJS I-NP O
for IN B-PP O
restaurants NNS B-NP O
that WDT B-NP O
serve VBP B-VP O
a DT B-NP O
decent JJ I-NP O
vegetarian JJ I-NP O
menu NN I-NP O
landed VBD B-VP O
me PRP B-NP O
here RB O O
. . O O

Was NNP B-NP O
here RB O O
on IN B-PP O
a DT B-NP O
Sunday NNP I-NP O
afternoon NN I-NP O
, , O O
when WRB O O
the DT B-NP O
GPS NNP I-NP O
on IN B-PP O
my PRP$ B-NP O
cell NN I-NP O
phone NN I-NP O
pointed VBD B-VP O
this DT B-NP O
as IN B-PP O
the DT B-NP O
nearest JJS I-NP O
restaurant NN I-NP O
with IN B-PP O
an DT B-NP O
Indian JJ I-NP O
menu NN I-NP O
. . O O

Was NNP B-NP O
somewhat RB O O
suprised VBD B-VP O
that IN B-PP O
the DT B-NP O
restaurant NN I-NP O
was VBD B-VP O
not RB I-VP O
full JJ B-NP O
. . O O

Barely RB O O
three CD B-NP O
tables NNS I-NP O
were VBD B-VP O
occupied VBN I-VP O
. . O O

Not RB O O
let VB B-VP O
down RP O O
, , O O
went VBD B-VP O
ahead RB I-VP O
and CC I-VP O
was VBD I-VP O
told VBN I-VP O
that IN B-PP O
there EX B-NP O
was VBD B-VP O
a DT B-NP O
Buffet NNP I-NP O
menu NN I-NP O
going VBG B-VP O
on IN B-PP O
for IN B-PP O
lunch NN B-NP O
. . O O

At IN B-PP O
less JJR B-NP O
than IN B-PP O
$ $ B-NP O
13 CD I-NP O
per IN B-PP O
head NN B-NP O
, , O O
we PRP B-NP O
gave VBD B-VP O
the DT B-NP O
Buffet NNP I-NP O
a DT B-NP O
chance NN I-NP O
. . O O

I PRP B-NP O
was VBD B-VP O
pleasantly RB I-VP O
surprised VBN I-VP O
by IN B-PP O
the DT B-NP O
quality NN I-NP O
of IN B-PP O
all PDT B-NP O
the DT I-NP O
veg NN I-NP O
dishes NNS I-NP O
. . O O

Would MD O O
give VB B-VP O
five CD B-NP O
stars NNS I-NP O
for IN B-PP O
all PDT B-NP O
the DT I-NP O
dishes NNS I-NP O
. . O O

The DT B-NP O
crispy NN I-NP B-MENU
pakoras NNS I-NP I-MENU
were VBD B-VP O
mouth JJ B-NP O
watering NN I-NP O
, , O O
the DT B-NP O
veg NN I-NP B-MENU
biriyani NN I-NP I-MENU
was VBD B-VP O
very RB I-VP O
flavourful JJ B-NP O
, , O O
the DT B-NP O
mushroom NN I-NP B-MENU
peas NN I-NP I-MENU
masala NN I-NP I-MENU
curry NN I-NP I-MENU
was VBD B-VP O
great JJ B-NP O
, , O O
the DT B-NP O
sambar NN I-NP B-MENU
was VBD B-VP O
tasty JJ B-NP O
. . O O

Dosas NNS B-NP B-MENU
are VBP B-VP O
served VBN I-VP O
at IN B-PP O
the DT B-NP O
table NN I-NP O
and CC O O
were VBD B-VP O
right RB I-VP O
on IN B-PP O
spot NN B-NP O
. . O O

I PRP B-NP O
would MD B-VP O
recommend VB I-VP O
this DT B-NP O
place NN I-NP O
to TO B-VP O
friends NNS B-NP O
seeking VBG I-NP O
tasty JJ I-NP O
vegetarian JJ I-NP O
food NN I-NP O
. . O O

I PRP B-NP O
did VBD B-VP O
not RB I-VP O
get VB I-VP O
to TO I-VP O
taste VB I-VP O
everything NN B-NP O
that WDT B-NP O
was VBD B-VP O
on IN B-PP O
the DT B-NP O
menu NN I-NP O
, , O O
I PRP B-NP O
was VBD B-VP O
fairly RB I-VP O
full JJ B-NP O
. . O O

The DT B-NP O
one CD I-NP O
reason NN I-NP O
I PRP B-NP O
gave VBD B-VP O
four CD B-NP O
stars NNS I-NP O
, , O O
was VBD B-VP O
about IN B-PP O
the DT B-NP O
mirch NN I-NP B-MENU
curry SYM O I-MENU
- : O O
capsicum NN B-NP O
gravy JJ I-NP O
- : O O
it PRP B-NP O
was VBD B-VP O
too RB I-VP O
hot JJ B-NP O
for IN B-PP O
me PRP B-NP O
. . O O
. . O O
. . O O
! . O O
! . O O
! . O O

I PRP B-NP O
would MD B-VP O
rightly RB I-VP O
recommend VB I-VP O
people NNS B-NP O
to TO B-VP O
avoid VB I-VP O
this DT B-NP O
( ( O O
if IN B-PP O
you PRP B-NP O
are VBP B-VP O
weak JJ B-NP O
at IN B-PP O
heart NN B-NP O
like IN B-PP O
me PRP B-NP O
) ) O O
. . O O

The DT B-NP O
ambience NN I-NP O
and CC O O
decor NN B-NP O
was VBD B-VP O
standard JJ B-NP O
and CC O O
classy JJ B-NP O
and CC O O
the DT B-NP O
service NN I-NP O
is VBZ B-VP O
very RB I-VP O
helpful JJ B-NP O
. . O O

Best JJS B-NP O
Indian JJ I-NP O
restaurant NN I-NP O
in IN B-PP O
town NN B-NP O
! . O O
! . O O

Try VB B-VP O
the DT B-NP O
Sunday NNP I-NP O
buffet NN I-NP O
. . O O

Food NN B-NP O
is VBZ B-VP O
a DT B-NP O
bit NN I-NP O
hot JJ I-NP O
& CC O O
spicy NN B-NP O
for IN B-PP O
most JJS O O
folks NNS B-NP O
. . O O

The DT B-NP O
Special NNP I-NP B-MENU
Chicken NNP I-NP I-MENU
65 CD I-NP I-MENU
, , O O
andhra RB O B-MENU
chicken NN B-NP I-MENU
curry NN I-NP I-MENU
, , O O
the DT B-NP O
spice NN I-NP B-MENU
south RB O I-MENU
chicken JJ B-NP I-MENU
curry NN I-NP I-MENU
is VBZ B-VP O
delectable JJ B-NP O
. . O O

If IN B-PP O
you PRP B-NP O
don VBP B-VP O
` `` O O
t NNS B-NP O
like IN B-PP O
it PRP B-NP O
hot JJ I-NP O
, , O O
ask VB B-VP O
them PRP B-NP O
to TO B-VP O
tone VB I-VP O
is VBZ B-VP O
down RB I-VP O
. . O O

The DT B-NP O
service NN I-NP O
is VBZ B-VP O
good JJ B-NP O
too RB O O
. . O O

Typical JJ B-NP O
Indian JJ I-NP O
Restaurant NNP I-NP O
. . O O

Mediocre NNP B-NP O
service NN I-NP O
, , O O
water NN B-NP O
without IN B-PP O
ice NN B-NP O
and CC O O
generally RB O O
overpriced VBN B-VP O
. . O O

Sambar NN B-NP B-MENU
was VBD B-VP O
good JJ B-NP O
, , O O
but CC O O
they PRP B-NP O
are VBP B-VP O
n't RB I-VP O
generous JJ B-NP O
with IN B-PP O
the DT B-NP O
shaak NN I-NP O
in IN B-PP O
the DT B-NP O
dosas NN I-NP B-MENU
. . O O

The DT B-NP O
shaak NN I-NP O
needed VBD B-VP O
more RBR O O
taste NN B-NP O
too RB O O
. . O O

When WRB O O
3 CD B-NP O
of IN B-PP O
us PRP B-NP O
adults NNS I-NP O
sat VBD B-VP O
down RB I-VP O
, , O O
the DT B-NP O
waiter NN I-NP O
only RB O O
gave VBD B-VP O
us PRP B-NP O
one CD I-NP O
menu NN I-NP O
? . O O

Giving VBG B-VP O
a DT B-NP O
generous JJ I-NP O
1 CD I-NP O
. . O O

Place NN B-NP O
is VBZ B-VP O
a DT B-NP O
bit NN I-NP O
priced VBN B-VP O
just RB I-VP O
because IN B-PP O
it PRP B-NP O
is VBZ B-VP O
around IN B-PP O
a DT B-NP O
better JJR I-NP O
locality NN I-NP O
. . O O

The DT B-NP O
food NN I-NP O
they PRP B-NP O
serve VBP B-VP O
there EX B-NP O
is VBZ B-VP O
just RB I-VP O
hyped VBN I-VP O
up RP O O
. . O O

We PRP B-NP O
were VBD B-VP O
there EX B-NP O
a DT I-NP O
few JJ I-NP O
times NNS I-NP O
and CC O O
the DT B-NP O
last JJ I-NP O
time NN I-NP O
we PRP B-NP O
were VBD B-VP O
served VBN I-VP O
biriyani NN B-NP B-MENU
that WDT B-NP O
was VBD B-VP O
stale JJ B-NP O
, , O O
the DT B-NP O
rice NN I-NP B-MENU
hardened VBD B-VP O
up RB I-VP O
and CC I-VP O
the DT B-NP O
chicken NN I-NP B-MENU
was VBD B-VP O
very RB I-VP O
less JJR B-NP O
in IN B-PP O
it PRP B-NP O
. . O O

They PRP B-NP O
serving VBG I-NP O
size NN I-NP O
was VBD B-VP O
also RB I-VP O
less JJR B-NP O
. . O O

I PRP B-NP O
am VBP B-VP O
an DT B-NP O
Indian JJ I-NP O
and CC O O
this DT B-NP O
food NN I-NP O
they PRP B-NP O
sell VBP B-VP O
under IN B-PP O
this DT B-NP O
restaurant NN I-NP O
name NN I-NP O
is VBZ B-VP O
pathetic JJ B-NP O
. . O O

Ambience NN B-NP O
is VBZ B-VP O
bad JJ B-NP O
. . O O

Choose NNP B-NP O
an DT I-NP O
American JJ I-NP O
restaurant NN I-NP O
! . O O

The DT B-NP O
wife NN I-NP O
and CC O O
I PRP B-NP O
usually RB O O
end VBP B-VP O
up RP O O
here RB O O
on IN B-PP O
Sunday NNP B-NP O
when WRB O O
they PRP B-NP O
serve VBP B-VP O
a DT B-NP O
buffet NN I-NP O
. . O O

It PRP B-NP O
is VBZ B-VP O
an DT B-NP O
all DT I-NP O
you PRP B-NP O
can MD B-VP O
eat VB I-VP O
style NN B-NP O
, , O O
nothing NN B-NP O
fancy NN I-NP O
for IN B-PP O
$ $ B-NP O
13.99 CD I-NP O
. . O O

I PRP B-NP O
have VBP B-VP O
to TO I-VP O
say VB I-VP O
that IN B-PP O
everything NN B-NP O
we PRP B-NP O
tasted VBD B-VP O
has VBZ I-VP O
the DT B-NP O
best JJS I-NP O
flavors NNS I-NP O
and CC O O
the DT B-NP O
proteins NNS I-NP O
are VBP B-VP O
not RB I-VP O
overcooked VBN I-VP O
. . O O

If IN B-PP O
you PRP B-NP O
are VBP B-VP O
looking VBG I-VP O
for IN B-PP O
great JJ B-NP O
Indian JJ I-NP O
food NN I-NP O
, , O O
check VB B-VP O
this DT B-NP O
place NN I-NP O
out RP B-PP O
. . O O

A DT B-NP O
la NN I-NP O
carte NN I-NP O
menu NN I-NP O
for IN B-PP O
dinner NN B-NP O
on IN B-PP O
the DT B-NP O
evenings NNS I-NP O
and CC O O
buffet NN B-NP O
lunches NNS I-NP O
all DT B-NP O
week NN I-NP O
. . O O

Good JJ B-NP O
friendly JJ I-NP O
service NN I-NP O
, , O O
mediocre NN B-NP O
atmosphere NN I-NP O
( ( O O
but CC O O
there EX B-NP O
is VBZ B-VP O
a DT B-NP O
patio NN I-NP O
in IN B-PP O
the DT B-NP O
parking NN I-NP O
lot NN I-NP O
) ) O O
nothing NN B-NP O
fancy JJ I-NP O
- : O O
- : O O
just RB O O
good JJ B-NP O
food NN I-NP O
. . O O

Enjoy NN B-NP O
! . O O

starts NNS B-NP O
and CC O O
ends VBZ B-VP O
with IN B-PP O
terribly RB B-NP O
bad JJ I-NP O
service NN I-NP O
; : O O
food NN B-NP O
is VBZ B-VP O
mediocre VBN I-VP O
at IN B-PP O
best JJS O O
and CC O O
not RB O O
served VBD B-VP O
hot JJ B-NP O
; : O O
food NN B-NP O
tastes NNS I-NP O
terrible JJ I-NP O
and CC O O
certainly RB O O
not RB O O
Indian JJ B-NP O
in IN B-PP O
taste NN B-NP O
; : O O
would MD B-VP O
never RB I-VP O
visit VB I-VP O
again RB O O
. . O O

First RB O O
visit NN B-NP O
on IN B-PP O
a DT B-NP O
Wednesday NNP I-NP O
evening NN I-NP O
and CC O O
should MD B-VP O
have VB I-VP O
known VBN I-VP O
the DT B-NP O
results NNS I-NP O
when WRB O O
we PRP B-NP O
were VBD B-VP O
the DT B-NP O
only JJ I-NP O
ones NNS I-NP O
in IN B-PP O
the DT B-NP O
restaurant NN I-NP O
. . O O

Were WRB O O
n't RB O O
welcomed VBD B-VP O
before IN B-PP O
being VBG B-VP O
seated VBN I-VP O
which WDT B-NP O
I PRP B-NP O
can MD B-VP O
overlook VB I-VP O
. . O O

Overall JJ B-NP O
felt VBD B-VP O
uncomfortable JJ B-NP O
being VBG I-NP O
there EX B-NP O
and CC O O
then RB O O
service NN B-NP O
was VBD B-VP O
lackluster RBR O O
. . O O

Food NN B-NP O
was VBD B-VP O
decent JJ B-NP O
. . O O

Willing VBG B-VP O
to TO I-VP O
give VB I-VP O
it PRP B-NP O
another DT I-NP O
try NN I-NP O
for IN B-PP O
the DT B-NP O
weekend NN I-NP O
buffet NN I-NP O
. . O O

I PRP B-NP O
went VBD B-VP O
here RB I-VP O
for IN B-PP O
dinner NN B-NP O
the DT I-NP O
other JJ I-NP O
night NN I-NP O
. . O O

When WRB O O
we PRP B-NP O
walked VBD B-VP O
up RP O O
half PDT B-NP O
the DT I-NP O
staff NN I-NP O
was VBD B-VP O
sitting VBG I-VP O
outside RB O O
on IN B-PP O
the DT B-NP O
deck NN I-NP O
which WDT B-NP O
was VBD B-VP O
a DT B-NP O
little JJ I-NP O
awkward NN I-NP O
for IN B-PP O
us PRP B-NP O
. . O O

We PRP B-NP O
were VBD B-VP O
asked VBN I-VP O
to TO I-VP O
seat VB I-VP O
ourselves PRP B-NP O
as IN B-PP O
the DT B-NP O
place NN I-NP O
was VBD B-VP O
pretty RB I-VP O
much JJ B-NP O
empty NN I-NP O
. . O O

I PRP B-NP O
had VBD B-VP O
the DT B-NP O
Chicken NNP I-NP B-MENU
Tikka NNP I-NP I-MENU
Masala NNP I-NP I-MENU
and CC O O
my PRP$ B-NP O
friend NN I-NP O
had VBD B-VP O
a DT B-NP O
vegetable JJ I-NP B-MENU
curry NN I-NP I-MENU
. . O O

Both DT B-NP O
dishes NNS I-NP O
were VBD B-VP O
pretty RB I-VP O
good JJ B-NP O
but CC O O
the DT B-NP O
whole JJ I-NP O
situation NN I-NP O
with IN B-PP O
ordering VBG B-VP O
, , O O
etc FW O O
was VBD B-VP O
just RB I-VP O
awkward RB O O
. . O O

The DT B-NP O
prices NNS I-NP O
here RB O O
are VBP B-VP O
very RB I-VP O
comparable JJ B-NP O
to TO B-VP O
the DT B-NP O
Blue NNP I-NP O
Taj NNP I-NP O
down IN B-PP O
the DT B-NP O
road NN I-NP O
in IN B-PP O
Ballantyne NNP B-NP O
. . O O

We PRP B-NP O
both DT I-NP O
agreed VBD B-VP O
that IN B-PP O
we PRP B-NP O
would MD B-VP O
probably RB I-VP O
stick VB I-VP O
to TO I-VP O
the DT B-NP O
Taj NNP I-NP O
in IN B-PP O
this DT B-NP O
area NN I-NP O
for IN B-PP O
Indian JJ B-NP O
dining VBG I-NP O
going VBG B-VP O
forward RB I-VP O
. . O O

My PRP$ B-NP O
wife NN I-NP O
and CC O O
I PRP B-NP O
moved VBD B-VP O
to TO I-VP O
Charlotte NNP B-NP O
from IN B-PP O
Los NNP B-NP O
Angeles NNP I-NP O
about IN B-PP O
2 CD B-NP O
years NNS I-NP O
ago RB O O
for IN B-PP O
work NN B-NP O
and CC O O
have VBP B-VP O
been VBN I-VP O
extremely RB O O
disappointed VBN B-VP O
by IN B-PP O
the DT B-NP O
ethnic JJ I-NP O
food NN I-NP O
here RB O O
in IN B-PP O
general JJ B-NP O
. . O O

My PRP$ B-NP O
wife NN I-NP O
grew VBD B-VP O
up RP O O
eating VBG B-VP O
Indian JJ B-NP O
food NN I-NP O
both DT B-NP O
here RB O O
in IN B-PP O
America NNP B-NP O
and CC O O
in IN B-PP O
a DT B-NP O
dozen NN I-NP O
other JJ I-NP O
countries NNS I-NP O
and CC O O
has VBZ B-VP O
made VBN I-VP O
us PRP B-NP O
try VB B-VP O
out RP O O
just RB O O
about IN B-PP O
every DT B-NP O
Indian JJ I-NP O
restaurant NN I-NP O
in IN B-PP O
Charlotte NNP B-NP O
, , O O
none NN B-NP O
of IN B-PP O
which WDT B-NP O
we PRP B-NP O
have VBP B-VP O
visited VBN I-VP O
for IN B-PP O
a DT B-NP O
second JJ I-NP O
time NN I-NP O
. . O O

About RB O O
two CD B-NP O
weeks NNS I-NP O
ago RB O O
, , O O
we PRP B-NP O
decided VBD B-VP O
to TO I-VP O
try VB I-VP O
Spice NNP B-NP O
South NNP I-NP O
for IN B-PP O
a DT B-NP O
buffet NN I-NP O
. . O O

We PRP B-NP O
were VBD B-VP O
pleasantly RB I-VP O
surprised VBN I-VP O
- : O O
the DT B-NP O
dishes NNS I-NP O
were VBD B-VP O
unique JJ B-NP O
, , O O
spicy NN B-NP O
and CC O O
the DT B-NP O
flavors NNS I-NP O
were VBD B-VP O
very RB I-VP O
complex JJ B-NP O
! . O O

The DT B-NP O
Chicken NNP I-NP B-MENU
Tikka NNP I-NP I-MENU
Masala NNP I-NP I-MENU
and CC O O
the DT B-NP O
Biryani NNP I-NP B-MENU
were VBD B-VP O
unbelievable JJ B-NP O
! . O O

There EX B-NP O
were VBD B-VP O
a DT B-NP O
dozen NN I-NP O
choices NNS I-NP O
both DT B-NP O
vegetables NNS I-NP B-MENU
and CC O O
meat NN B-NP O
. . O O

My PRP$ B-NP O
only JJ I-NP O
criticism NN I-NP O
was VBD B-VP O
there EX B-NP O
was VBD B-VP O
a DT B-NP O
lot NN I-NP O
of IN B-PP O
chicken NN B-NP B-MENU
, , O O
would MD B-VP O
have VB I-VP O
loved VBN I-VP O
some DT B-NP O
lamb NN I-NP B-MENU
or CC O O
goat NN B-NP B-MENU
. . O O

For IN B-PP O
a DT B-NP O
buffet NN I-NP O
of IN B-PP O
this DT B-NP O
quality NN I-NP O
, , O O
the DT B-NP O
price NN I-NP O
is VBZ B-VP O
nothing NN B-NP O
! . O O

Last JJ B-NP O
week NN I-NP O
we PRP B-NP O
went VBD B-VP O
back RB I-VP O
and CC I-VP O
brought VBD I-VP O
my PRP$ B-NP O
in IN B-PP O
laws NNS B-NP O
- : O O
they PRP B-NP O
fell VBD B-VP O
in IN B-PP O
love NN B-NP O
as RB O O
well RB O O
! . O O

Ca NNP B-NP O
n't RB O O
wait VBD B-VP O
to TO I-VP O
go VB I-VP O
back RB O O
and CC O O
bring VB B-VP O
some DT B-NP O
more JJR I-NP O
friends NNS I-NP O
. . O O

We PRP B-NP O
order NN I-NP O
the DT B-NP O
Tikki NNP I-NP B-MENU
Marsala NNP I-NP I-MENU
and CC O O
some DT B-NP O
naan JJ I-NP B-MENU
bread NN I-NP I-MENU
To TO B-VP O
Go VB I-VP O
and CC I-VP O
it PRP B-NP O
was VBD B-VP O
amazing VBG I-VP O
. . O O

We PRP B-NP O
love VBP B-VP O
Indian JJ B-NP O
food NN I-NP O
and CC O O
have VBP B-VP O
eaten VBN I-VP O
at IN B-PP O
several JJ B-NP O
other JJ I-NP O
places NNS I-NP O
in IN B-PP O
Charlotte NNP B-NP O
and CC O O
for IN B-PP O
the DT B-NP O
$ $ I-NP O
this DT B-NP O
place NN I-NP O
is VBZ B-VP O
much RB I-VP O
better RBR O O
. . O O

We PRP B-NP O
will MD B-VP O
definitely RB I-VP O
be VB I-VP O
back RB O O
. . O O

The DT B-NP O
food NN I-NP O
is VBZ B-VP O
very RB I-VP O
good JJ B-NP O
and CC O O
authentic JJ B-NP O
. . O O

We PRP B-NP O
get VBP B-VP O
take VB I-VP O
away RP O O
most JJS O O
of IN B-PP O
the DT B-NP O
time NN I-NP O
although IN B-PP O
we PRP B-NP O
have VBP B-VP O
eaten VBN I-VP O
in IN B-PP O
once RB B-NP O
and CC O O
had VBD B-VP O
good JJ B-NP O
service NN I-NP O
. . O O

The DT B-NP O
one CD I-NP O
time NN I-NP O
they PRP B-NP O
got VBD B-VP O
my PRP$ B-NP O
take VB B-VP O
away RP O O
order NN B-NP O
wrong IN B-PP O
they PRP B-NP O
offered VBD B-VP O
and CC I-VP O
delivered VBD I-VP O
the DT B-NP O
correct NN I-NP O
menu NN I-NP O
item NN I-NP O
to TO B-VP O
my PRP$ B-NP O
house NN I-NP O
at IN B-PP O
no DT B-NP O
charge NN I-NP O
. . O O

That DT B-NP O
's VBZ B-VP O
service NN B-NP O
! . O O

We PRP B-NP O
( ( O O
4 CD B-NP O
adults NNS I-NP O
and CC O O
2 CD B-NP O
kids NNS I-NP O
) ) O O
were VBD B-VP O
in IN B-PP O
for IN B-PP O
dinner NN B-NP O
. . O O

Order NNP B-NP O
Masala NNP I-NP B-MENU
dosa NN I-NP I-MENU
, , O O
Chicken NNP B-NP B-MENU
Chettinad NNP I-NP I-MENU
, , O O
panir NN B-NP B-MENU
butter NN I-NP I-MENU
masala VBP B-VP I-MENU
an DT B-NP O
few JJ I-NP O
garlic JJ I-NP B-MENU
nan NN I-NP I-MENU
. . O O

Food NN B-NP O
was VBD B-VP O
delicious JJ B-NP O
and CC O O
flavorful JJ B-NP O
. . O O
. . O O

Dishes NNS B-NP O
on IN B-PP O
tables NNS B-NP O
around IN B-PP O
us PRP B-NP O
were VBD B-VP O
also RB I-VP O
very RB O O
tempting JJ B-NP O
. . O O

Ambiance NN B-NP O
has VBZ B-VP O
scope VBN I-VP O
for IN B-PP O
improvement NN B-NP O
, , O O
staff NN B-NP O
need NN I-NP O
be VB B-VP O
more JJR B-NP O
professional JJ I-NP O
. . O O

All DT B-NP O
in IN B-PP O
all DT B-NP O
I PRP B-NP O
would MD B-VP O
come VB I-VP O
back RB O O
for IN B-PP O
dinner NN B-NP O
here RB O O
. . O O

Just RB O O
did VBD B-VP O
take VB I-VP O
out RP O O
. . O O

After IN B-PP O
getting VBG B-VP O
home RB I-VP O
, , O O
we PRP B-NP O
realized VBD B-VP O
that IN B-PP O
they PRP B-NP O
forgot VBD B-VP O
the DT B-NP O
naan NN I-NP B-MENU
. . O O

I PRP B-NP O
called VBD B-VP O
, , O O
and CC O O
they PRP B-NP O
insisted VBD B-VP O
we PRP B-NP O
come VB B-VP O
back RB I-VP O
out IN B-PP O
( ( O O
15 CD B-NP O
+ NNP I-NP O
minute NN I-NP O
drive NN I-NP O
) ) O O
or CC O O
oh UH O O
well RB O O
. . O O

Refused VBD O O
a DT B-NP O
refund NN I-NP O
for IN B-PP O
the DT B-NP O
